qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q6176542,Odongo Jeje Abubakhar,Jeje Odongo,8,3690,96.9,human,2,birth_death_wd|citizenship_wd
Q105587935,War in Uganda (1986–1994),War in Uganda (1986–1994),7,15949,96.9,civil war,2,country_wd|keyword_title
Q508335,Taban lo Liyong,Taban Lo Liyong,11,1114,96.8,human,2,birth_death_wd|citizenship_wd
Q19898617,Susie Tharu,Susie Tharu,10,1497,96.8,human,1,birth_death_wd
Q8031502,women in Uganda,Women in Uganda,9,1950,96.8,aspect in a geographic region,2,country_wd|keyword_title
Q50316336,Elvis Bwomono,Elvis Bwomono,7,11013,96.8,human,1,birth_death_wd
Q923489,Credonia Mwerinde,Credonia Mwerinde,7,12093,96.8,human,1,citizenship_wd
Q140650,Uganda at the 2012 Summer Olympics,Uganda at the 2012 Summer Olympics,22,458,96.7,Olympic delegation,2,country_wd|keyword_title
Q1390765,1st parallel south,1st parallel south,20,461,96.7,circle of latitude,1,country_wd
Q492993,Leo Rwabwogo,Leo Rwabwogo,17,533,96.7,human,2,birth_death_wd|citizenship_wd
Q96622031,Wiki Loves Folklore,Wiki Loves Folklore,13,776,96.7,"organization, recurring event, WikiProject",1,country_wd
Q22138769,Zika Forest,Zika Forest,11,1025,96.7,forest,1,country_wd
Q2902777,Arua Airport,Arua Airport,11,998,96.7,"international airport, airport, commercial traffic aerodrome",1,country_wd
Q124423647,Simon Peter Engurait,Simon Peter Engurait,9,1759,96.7,human,1,birth_death_wd
Q484802,Otema Allimadi,Otema Allimadi,9,1650,96.7,human,2,birth_death_wd|citizenship_wd
Q1173623,Bahati David,David Bahati,8,2695,96.7,human,2,birth_death_wd|citizenship_wd
Q1929454,Sexual Minorities Uganda,Sexual Minorities Uganda,8,2766,96.7,"non-governmental organization, LGBTQ+ rights organization",2,country_wd|keyword_title
Q111530547,Nyamutoro Phiona,Phiona Nyamutoro,7,9099,96.7,human,2,birth_death_wd|citizenship_wd
Q5434722,Farah Damji,Farah Damji,7,8697,96.7,human,2,birth_death_wd|citizenship_wd
